NO,SMA,Indonesia,Inggris,Matematika,Fisika,Kimia,Biologi
318,SMA NEGERI 3 LUMAJANG,81.41,63.1,46.57,44.1,52.83,55.9
319,SMA NEGERI TEMPEH,81.35,60.02,46.34,58.63,56.25,60.29
320,SMA NEGERI PASIRIAN,72.22,49.12,38.09,43.21,49.25,54.49
321,SMA NEGERI PRONOJIWO,71.36,49.28,33.9,41.43,46.96,45.48
322,SMA NEGERI YOSOWILANGUN,76.15,49.51,36,48.17,53.57,54.21
323,SMA NEGERI JATIROTO,70.05,47.93,37.5,39.14,61.52,51.15
324,SMA NEGERI KUNIR,67.46,44.86,34.05,31.04,46.25,53.56
325,SMA NEGERI CANDIPURO,62.3,42.88,32.97,39.09,46.67,45.89
326,SMA NEGERI SENDURO,73.5,48.95,35.09,44.79,47.19,50.94
327,SMA NEGERI 1 BONDOWOSO,66.52,47.01,32.27,34.55,43,44.74
328,SMA NEGERI 2 BONDOWOSO,79.94,70.07,44.11,47.95,50.42,67.78
329,SMA NEGERI GRUJUGAN,64.84,39.33,30.67,42,25,42.31
330,SMA NEGERI TAMANAN,65.95,40.12,32.38,38.44,54.38,43.44
331,SMA NEGERI 1 TENGGARANG,73.54,53.99,37.13,39.68,57.81,56.16
332,SMA NEGERI 3 BONDOWOSO,64.31,44.26,32.61,41.25,42.74,45.94
333,SMA NEGERI 1 TAPEN,62.48,45.57,36.76,57.5,48.54,46.52
334,SMA NEGERI 1 PRAJEKAN,69.76,48.16,37.5,33.75,45.65,51.56
335,SMA NEGERI 1 SUKOSARI,59.7,38.6,29.56,33.33,43.75,41.36
336,SMA NEGERI 1 PUJER,57.17,41.07,30.43,49.78,41.87,41.04
337,SMA NEGERI 1 SITUBONDO,84.69,76.54,54.68,55.87,71.55,70.84
338,SMA NEGERI 2 SITUBONDO,75.23,59.18,41.71,38.91,48.08,57.8
339,SMA NEGERI 1 PANARUKAN,65.31,45.54,35.8,35,46.38,44.18
340,SMA NEGERI 1 SUBOH,66.85,45.56,36.39,36.75,38.79,45.68
341,SMA NEGERI 1 ASEMBAGUS,78.42,57.74,44.46,63.21,53.1,58.27
342,SMA NEGERI 1 PANJI,67.89,47.98,42.68,44.17,45.95,53.85
343,SMA NEGERI 1 KAPONGAN,56.91,37.05,30.42,34.09,40.91,40.28
344,SMA NEGERI 1 BESUKI,75.36,52.7,43.25,55,47.6,51.28
345,SMA NEGERI 1 BANYUPUTIH,67.2,40.1,36.63,40.83,50.88,49.29
346,SMA NEGERI 1 JEMBER,88.39,84.89,67.2,71.6,76.6,80.47
347,SMA NEGERI 2 JEMBER,83.18,76.47,58.5,54.55,70.88,70.86
348,SMA NEGERI 3 JEMBER,74.59,57.67,39.25,43.32,52.31,50.42
349,SMA NEGERI MUMBULSARI,60.37,40.2,31.81,55.78,37.85,43.36
350,SMA NEGERI 5 JEMBER,78.17,64.66,44.72,44.64,57.68,61.23
351,SMA NEGERI 4 JEMBER,82.4,72,52.62,51.44,59.4,69.61
352,SMA NEGERI AMBULU,83.95,69.22,55.2,53.26,59.75,68.05
353,SMA NEGERI JENGGAWAH,68.47,43.33,34.45,47.5,40.71,47.11
354,SMA NEGERI 1 KENCONG,78.72,56.7,42.82,48.47,54.17,53.78
355,SMA NEGERI 2 TANGGUL,76.44,58.62,43.7,47.23,53.47,61.18
356,SMA NEGERI 1 TANGGUL,64.13,43.58,34.16,36.02,34.67,44.68
357,SMA NEGERI BALUNG,72.29,49.85,36.98,42.08,48.68,50.37
358,SMA NEGERI KALISAT,75.26,57.21,37.82,44.44,48.63,54.59
359,SMA NEGERI PLUS SUKOWONO,59.06,40.65,31.9,35.83,37.86,44.27
360,SMA NEGERI ARJASA,76.15,67.11,42.49,43.8,54.12,62.84
361,SMA NEGERI RAMBIPUJI,68.2,49.2,33.33,42.17,47.08,46.87
362,SMA NEGERI UMBULSARI,67.13,44.04,34.07,34.62,44.17,44.15
363,SMA NEGERI PAKUSARI,66.61,48.08,35.33,41.09,39.55,49.19
364,SMA NEGERI 1 GLAGAH BANYUWANGI,85.21,76.75,62.93,67.3,71.02,69.55
365,SMA NEGERI 1 GIRI,81.11,68.35,45.67,50.23,55.34,63.57
366,SMA NEGERI 1 BANYUWANGI,74.36,54.12,37.76,35.76,50.73,50.77
367,SMA NEGERI 1 ROGOJAMPI,75.69,58.25,43.42,46.58,60.46,57.62
368,SMA NEGERI 1 PURWOHARJO,77.75,60.56,47.94,50.42,63.54,65.45
369,SMA NEGERI 1 BANGOREJO,73.06,50.17,35.96,36.46,47.63,50.32
370,SMA NEGERI 1 GENTENG,84.89,81.15,71.35,68.85,73.11,85.83
371,SMA NEGERI 2 GENTENG,78.71,60.88,46.39,46.45,52.02,53.03
372,SMA NEGERI 1 GLENMORE,78.08,57.6,42.13,39.84,52.94,56.36
373,SMA NEGERI 1 PESANGGARAN,75.95,55.78,42.71,45.31,45,55.74
374,SMA NEGERI 1 MUNCAR,68.7,51.23,38.22,44.75,42.5,57.53
375,SMA NEGERI 1 TEGALDLIMO,73.81,52.76,43.13,38.67,49.32,61.79
376,SMA NEGERI 1 CLURING,77.1,54,41.46,45.31,59.79,53.93
377,SMA NEGERI 1 GAMBIRAN,80.59,61.69,45.41,48.25,55.5,67.69
378,SMA NEGERI 1 SRONO,69.26,50.96,34.09,40,47.5,51.24
379,SMA NEGERI DARUSSHOLAH SINGOJURUH,69.4,47.72,35.39,40.33,48.64,53.99
380,SMA NEGERI WONGSOREJO,65.77,44.73,30.77,33.46,36.79,45.91
381,SMA NEGERI 1 PAMEKASAN,84.56,75.56,62.5,67.5,70.79,73.38
382,SMA NEGERI 4 PAMEKASAN,63.9,41.68,33.46,34.61,39.88,43.13
383,SMA NEGERI 2 PAMEKASAN,68.77,50.8,39.47,40,59.17,55.46
384,SMA NEGERI 1 GALIS,59.25,40.81,35.07,44.58,51.07,43.17
385,SMA NEGERI 1 PADEMAWU,60.43,39.6,33.21,38.27,45.83,43.36
386,SMA NEGERI 3 PAMEKASAN,77.2,59.31,46.11,55.28,53.14,55.72
387,SMA NEGERI 5 PAMEKASAN,54.37,38.02,32.9,40.75,43.75,39.93
388,SMA NEGERI 1 PAKONG,56.96,37.25,31.74,34.77,39,42.81
389,SMA NEGERI 1 WARU,56.72,38.74,28.63,35.67,36.67,41.15
390,SMA NEGERI 1 SAMPANG,73.91,61.53,58.11,55.89,68.38,63.52
391,SMA NEGERI 1 TORJUN,61.1,40.03,31.39,36.09,37.5,44.72
392,SMA NEGERI 2 SAMPANG,60.91,38.28,31.49,41.11,43.25,42.02
393,SMA NEGERI 1 KEDUNGDUNG,53.22,36.15,31.04,40.75,45.63,42.03
394,SMA NEGERI 1 KETAPANG,47.29,37.82,28.94,27.5,34.61,37.74
395,SMA NEGERI 3 SAMPANG,56.34,41.83,33.67,37.5,48.89,47.82
396,SMA NEGERI 1 SRESEH,63.26,41.66,32.18,39.5,58.13,54.33
397,SMA NEGERI 4 SAMPANG,44.2,36.8,30.5,40.75,37.87,44.25
398,SMA NEGERI 1 BANYUATES,37.57,33.83,25.65,34.17,37.85,32.88
399,SMA NEGERI 1 OMBEN,58.4,42.73,35,43.75,40.85,44.64
400,SMA NEGERI 1 SUMENEP,78.91,62.32,48.86,48.47,61.52,60.61
401,SMA NEGERI 2 SUMENEP,69.44,47.66,35.24,47.73,56.92,47.5
402,SMA NEGERI 1 KALIANGET,61.92,41.31,33.01,33.85,66.45,45.47
403,SMA NEGERI 1 AMBUNTEN,60.59,40.49,32.69,47.5,47.14,45.21
404,SMA NEGERI 1 ARJASA,55.06,50.6,33.77,40.13,72.5,48.32
405,SMA NEGERI 1 BLUTO,55.29,39.01,31.45,33.75,34.5,41.96
406,SMA NEGERI 1 LENTENG,49.85,40.26,32.44,37.5,45,42.5
407,SMA NEGERI 1 GAPURA,61,39.35,32.6,37.5,30,43.9
408,SMA NEGERI 1 GAYAM,60.54,40.22,33.78,28.33,55.5,48.85
409,SMA NEGERI 1 SAPEKEN,49.88,37.1,29.56,37.5,39.5,38.07
410,SMA NEGERI 1 MASALEMBU,56.41,39.97,28.28,33.3,34.38,40.2
411,SMA NEGERI 1 BATUAN,63.14,45.23,32.92,40.83,47.92,46.61
412,SMA NEGERI 1 BLEGA,59.43,39.16,31.43,23.75,42.5,42.19
413,SMA NEGERI 2 BANGKALAN,67.41,53.43,38.9,42.41,57.22,52.53
414,SMA NEGERI 3 BANGKALAN,65.8,43.61,38.14,54.5,45.72,46.93
415,SMA NEGERI 1 KAMAL,66.2,55.28,50.75,45.97,43.89,69.72
416,SMA NEGERI 1 KWANYAR,60.57,41.53,31.43,36.33,46.67,44.31
417,SMA NEGERI 1 AROSBAYA,63.78,44.12,33.28,39.5,45,47.16
418,SMA NEGERI 1 TANJUNGBUMI,58.54,42.66,33.61,39.12,56.83,44.12
419,SMA NEGERI 1 BANGKALAN,77.91,69.11,61.85,69.02,71.88,72.63
420,SMA NEGERI 4 BANGKALAN,53.5,41.72,34.47,40,42.5,42.73
